MENU,RESTO YANG MENYEDIAKAN MENU
Cow Mein,"Yamie Panda, Cokroaminoto"
Wonton Soup,"Yamie Panda, Cokroaminoto"
nasi hainan,"Yamie Panda, Cokroaminoto"
Spring Rolls,"Yamie Panda, Cokroaminoto"
Lo Mein,"Yamie Panda, Cokroaminoto"
Congee,"Yamie Panda, Cokroaminoto"
Bakpao,"Yamie Panda, Cokroaminoto"
Lumpia,"Yamie Panda, Cokroaminoto"
Capcay,"Yamie Panda, Cokroaminoto"
Kwetiau,"Yamie Panda, Cokroaminoto"
Fuyunghai,"Yamie Panda, Cokroaminoto"
Sapo Tahu,"Yamie Panda, Cokroaminoto"
 Bakmi,"Yamie Panda, Cokroaminoto"
Ayam Kungpao,"Yamie Panda, Cokroaminoto"
Angsio Tahu,"Yamie Panda, Cokroaminoto"
Ayam Koloke,"Yamie Panda, Cokroaminoto"
Siomay,"Yamie Panda, Cokroaminoto"
I Fu Mie,"Yamie Panda, Cokroaminoto"
nasi goreng seafood chinese,"Yamie Panda, Cokroaminoto"
Bakso,"Yamie Panda, Cokroaminoto"
Soto,"Yamie Panda, Cokroaminoto"
Bakso,"Kedai Mie Nyinyir, Sorogenen"
Soto,"Kedai Mie Nyinyir, Sorogenen"
Bakmie,"Kedai Mie Nyinyir, Sorogenen"
Dimsum,"Dudidu Dimsum, ISI"
Bebek Peking,"Dudidu Dimsum, ISI"
Cow Mein,"Dudidu Dimsum, ISI"
Wonton Soup,"Dudidu Dimsum, ISI"
nasi hainan,"Dudidu Dimsum, ISI"
Spring Rolls,"Dudidu Dimsum, ISI"
Lo Mein,"Dudidu Dimsum, ISI"
Congee,"Dudidu Dimsum, ISI"
Bakpao,"Dudidu Dimsum, ISI"
Lumpia,"Dudidu Dimsum, ISI"
Capcay,"Dudidu Dimsum, ISI"
Kwetiau,"Dudidu Dimsum, ISI"
Fuyunghai,"Dudidu Dimsum, ISI"
Sapo Tahu,"Dudidu Dimsum, ISI"
 Bakmi,"Dudidu Dimsum, ISI"
Ayam Kungpao,"Dudidu Dimsum, ISI"
Angsio Tahu,"Dudidu Dimsum, ISI"
Ayam Koloke,"Dudidu Dimsum, ISI"
Siomay,"Dudidu Dimsum, ISI"
I Fu Mie,"Dudidu Dimsum, ISI"
nasi goreng seafood chinese,"Dudidu Dimsum, ISI"
Sushi,"Dudidu Dimsum, ISI"
Sashimi,"Dudidu Dimsum, ISI"
Tempura,"Dudidu Dimsum, ISI"
Ramen,"Dudidu Dimsum, ISI"
Udon,"Dudidu Dimsum, ISI"
Soba,"Dudidu Dimsum, ISI"
Okonomiyaki,"Dudidu Dimsum, ISI"
Takoyaki,"Dudidu Dimsum, ISI"
Tonkatsu,"Dudidu Dimsum, ISI"
Yakitori,"Dudidu Dimsum, ISI"
Gyoza,"Dudidu Dimsum, ISI"
Onigiri,"Dudidu Dimsum, ISI"
Miso Soup,"Dudidu Dimsum, ISI"
Nabe,"Dudidu Dimsum, ISI"
Shabu-Shabu,"Dudidu Dimsum, ISI"
Sukiyaki,"Dudidu Dimsum, ISI"
Teriyaki,"Dudidu Dimsum, ISI"
Unagi,"Dudidu Dimsum, ISI"
Tamagoyaki,"Dudidu Dimsum, ISI"
Mochi,"Dudidu Dimsum, ISI"
Korean,"Dudidu Dimsum, ISI"
Dimsum,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Bebek Peking,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Cow Mein,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Wonton Soup,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
nasi hainan,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Spring Rolls,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Lo Mein,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Congee,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Bakpao,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Lumpia,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Capcay,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Kwetiau,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Fuyunghai,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Sapo Tahu,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
 Bakmi,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Ayam Kungpao,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Angsio Tahu,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Ayam Koloke,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Siomay,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
I Fu Mie,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
nasi goreng seafood chinese,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Seafood,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Bakmie,"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan"
Coffee,"Double O Resto, Tegalrejo"
Beverages,"Double O Resto, Tegalrejo"
Sushi,"Double O Resto, Tegalrejo"
Sashimi,"Double O Resto, Tegalrejo"
Tempura,"Double O Resto, Tegalrejo"
Ramen,"Double O Resto, Tegalrejo"
Udon,"Double O Resto, Tegalrejo"
Soba,"Double O Resto, Tegalrejo"
Okonomiyaki,"Double O Resto, Tegalrejo"
Takoyaki,"Double O Resto, Tegalrejo"
Tonkatsu,"Double O Resto, Tegalrejo"
Yakitori,"Double O Resto, Tegalrejo"
Gyoza,"Double O Resto, Tegalrejo"
Onigiri,"Double O Resto, Tegalrejo"
Miso Soup,"Double O Resto, Tegalrejo"
Nabe,"Double O Resto, Tegalrejo"
Shabu-Shabu,"Double O Resto, Tegalrejo"
Sukiyaki,"Double O Resto, Tegalrejo"
Teriyaki,"Double O Resto, Tegalrejo"
Unagi,"Double O Resto, Tegalrejo"
Tamagoyaki,"Double O Resto, Tegalrejo"
Mochi,"Double O Resto, Tegalrejo"
Fast food,"HokBen Kitchen, Godean Jogjakarta"
Sushi,"HokBen Kitchen, Godean Jogjakarta"
Sashimi,"HokBen Kitchen, Godean Jogjakarta"
Tempura,"HokBen Kitchen, Godean Jogjakarta"
Ramen,"HokBen Kitchen, Godean Jogjakarta"
Udon,"HokBen Kitchen, Godean Jogjakarta"
Soba,"HokBen Kitchen, Godean Jogjakarta"
Okonomiyaki,"HokBen Kitchen, Godean Jogjakarta"
Takoyaki,"HokBen Kitchen, Godean Jogjakarta"
Tonkatsu,"HokBen Kitchen, Godean Jogjakarta"
Yakitori,"HokBen Kitchen, Godean Jogjakarta"
Gyoza,"HokBen Kitchen, Godean Jogjakarta"
Onigiri,"HokBen Kitchen, Godean Jogjakarta"
Miso Soup,"HokBen Kitchen, Godean Jogjakarta"
Nabe,"HokBen Kitchen, Godean Jogjakarta"
Shabu-Shabu,"HokBen Kitchen, Godean Jogjakarta"
Sukiyaki,"HokBen Kitchen, Godean Jogjakarta"
Teriyaki,"HokBen Kitchen, Godean Jogjakarta"
Unagi,"HokBen Kitchen, Godean Jogjakarta"
Tamagoyaki,"HokBen Kitchen, Godean Jogjakarta"
Mochi,"HokBen Kitchen, Godean Jogjakarta"
Fast food,Salad Sehat Fd
Sushi,Salad Sehat Fd
Sashimi,Salad Sehat Fd
Tempura,Salad Sehat Fd
Ramen,Salad Sehat Fd
Udon,Salad Sehat Fd
Soba,Salad Sehat Fd
Okonomiyaki,Salad Sehat Fd
Takoyaki,Salad Sehat Fd
Tonkatsu,Salad Sehat Fd
Yakitori,Salad Sehat Fd
Gyoza,Salad Sehat Fd
Onigiri,Salad Sehat Fd
Miso Soup,Salad Sehat Fd
Nabe,Salad Sehat Fd
Shabu-Shabu,Salad Sehat Fd
Sukiyaki,Salad Sehat Fd
Teriyaki,Salad Sehat Fd
Unagi,Salad Sehat Fd
Tamagoyaki,Salad Sehat Fd
Mochi,Salad Sehat Fd
Korean,Salad Sehat Fd
Sushi,"Bakmi Nikmat Rasa, Soragan"
Sashimi,"Bakmi Nikmat Rasa, Soragan"
Tempura,"Bakmi Nikmat Rasa, Soragan"
Ramen,"Bakmi Nikmat Rasa, Soragan"
Udon,"Bakmi Nikmat Rasa, Soragan"
Soba,"Bakmi Nikmat Rasa, Soragan"
Okonomiyaki,"Bakmi Nikmat Rasa, Soragan"
Takoyaki,"Bakmi Nikmat Rasa, Soragan"
Tonkatsu,"Bakmi Nikmat Rasa, Soragan"
Yakitori,"Bakmi Nikmat Rasa, Soragan"
Gyoza,"Bakmi Nikmat Rasa, Soragan"
Onigiri,"Bakmi Nikmat Rasa, Soragan"
Miso Soup,"Bakmi Nikmat Rasa, Soragan"
Nabe,"Bakmi Nikmat Rasa, Soragan"
Shabu-Shabu,"Bakmi Nikmat Rasa, Soragan"
Sukiyaki,"Bakmi Nikmat Rasa, Soragan"
Teriyaki,"Bakmi Nikmat Rasa, Soragan"
Unagi,"Bakmi Nikmat Rasa, Soragan"
Tamagoyaki,"Bakmi Nikmat Rasa, Soragan"
Mochi.,"Bakmi Nikmat Rasa, Soragan"
Sushi,"GYU KATSU, CONDONGCATUR"
Sashimi,"GYU KATSU, CONDONGCATUR"
Tempura,"GYU KATSU, CONDONGCATUR"
Ramen,"GYU KATSU, CONDONGCATUR"
Udon,"GYU KATSU, CONDONGCATUR"
Soba,"GYU KATSU, CONDONGCATUR"
Okonomiyaki,"GYU KATSU, CONDONGCATUR"
Takoyaki,"GYU KATSU, CONDONGCATUR"
Tonkatsu,"GYU KATSU, CONDONGCATUR"
Yakitori,"GYU KATSU, CONDONGCATUR"
Gyoza,"GYU KATSU, CONDONGCATUR"
Onigiri,"GYU KATSU, CONDONGCATUR"
Miso Soup,"GYU KATSU, CONDONGCATUR"
Nabe,"GYU KATSU, CONDONGCATUR"
Shabu-Shabu,"GYU KATSU, CONDONGCATUR"
Sukiyaki,"GYU KATSU, CONDONGCATUR"
Teriyaki,"GYU KATSU, CONDONGCATUR"
Unagi,"GYU KATSU, CONDONGCATUR"
Tamagoyaki,"GYU KATSU, CONDONGCATUR"
Mochi.,"GYU KATSU, CONDONGCATUR"
Rice,"GYU KATSU, CONDONGCATUR"
Minuman,"Vegan Cafe Black Forest, Brontokusuman"
Dimsum,"Vegan Cafe Black Forest, Brontokusuman"
Bebek Peking,"Vegan Cafe Black Forest, Brontokusuman"
Cow Mein,"Vegan Cafe Black Forest, Brontokusuman"
Wonton Soup,"Vegan Cafe Black Forest, Brontokusuman"
nasi hainan,"Vegan Cafe Black Forest, Brontokusuman"
Spring Rolls,"Vegan Cafe Black Forest, Brontokusuman"
Lo Mein,"Vegan Cafe Black Forest, Brontokusuman"
Congee,"Vegan Cafe Black Forest, Brontokusuman"
Bakpao,"Vegan Cafe Black Forest, Brontokusuman"
Lumpia,"Vegan Cafe Black Forest, Brontokusuman"
Capcay,"Vegan Cafe Black Forest, Brontokusuman"
Kwetiau,"Vegan Cafe Black Forest, Brontokusuman"
Fuyunghai,"Vegan Cafe Black Forest, Brontokusuman"
Sapo Tahu,"Vegan Cafe Black Forest, Brontokusuman"
 Bakmi,"Vegan Cafe Black Forest, Brontokusuman"
Ayam Kungpao,"Vegan Cafe Black Forest, Brontokusuman"
Angsio Tahu,"Vegan Cafe Black Forest, Brontokusuman"
Ayam Koloke,"Vegan Cafe Black Forest, Brontokusuman"
Siomay,"Vegan Cafe Black Forest, Brontokusuman"
I Fu Mie,"Vegan Cafe Black Forest, Brontokusuman"
nasi goreng seafood chinese,"Vegan Cafe Black Forest, Brontokusuman"
Barat,"Vegan Cafe Black Forest, Brontokusuman"
Rice,"Grennesia Salad Bar & Breakfast, Parangtritis"
Burger,"Grennesia Salad Bar & Breakfast, Parangtritis"
Steak,"Grennesia Salad Bar & Breakfast, Parangtritis"
Pizza,"Grennesia Salad Bar & Breakfast, Parangtritis"
Pasta,"Grennesia Salad Bar & Breakfast, Parangtritis"
Fish and Chips,"Grennesia Salad Bar & Breakfast, Parangtritis"
Caesar Salad,"Grennesia Salad Bar & Breakfast, Parangtritis"
French Fries,"Grennesia Salad Bar & Breakfast, Parangtritis"
Chicken Wings,"Grennesia Salad Bar & Breakfast, Parangtritis"
Grilled Cheese Sandwich,"Grennesia Salad Bar & Breakfast, Parangtritis"
Tacos,"Grennesia Salad Bar & Breakfast, Parangtritis"
Lasagna,"Grennesia Salad Bar & Breakfast, Parangtritis"
Ribs,"Grennesia Salad Bar & Breakfast, Parangtritis"
Nachos,"Grennesia Salad Bar & Breakfast, Parangtritis"
Mac and Cheese,"Grennesia Salad Bar & Breakfast, Parangtritis"
Quesadilla,"Grennesia Salad Bar & Breakfast, Parangtritis"
Hot Dog,"Grennesia Salad Bar & Breakfast, Parangtritis"
Meatloaf,"Grennesia Salad Bar & Breakfast, Parangtritis"
Buffalo Wings,"Grennesia Salad Bar & Breakfast, Parangtritis"
Chicken Parmesan,"Grennesia Salad Bar & Breakfast, Parangtritis"
Clam Chowder,"Grennesia Salad Bar & Breakfast, Parangtritis"
Snacks,"Grennesia Salad Bar & Breakfast, Parangtritis"
Snacks,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Sushi,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Sashimi,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Tempura,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Ramen,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Udon,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Soba,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Okonomiyaki,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Takoyaki,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Tonkatsu,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Yakitori,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Gyoza,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Onigiri,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Miso Soup,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Nabe,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Shabu-Shabu,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Sukiyaki,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Teriyaki,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Unagi,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Tamagoyaki,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Mochi,"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG"
Burger,"Waroeng Steak And Shake, Tamansiswa"
Steak,"Waroeng Steak And Shake, Tamansiswa"
Pizza,"Waroeng Steak And Shake, Tamansiswa"
Pasta,"Waroeng Steak And Shake, Tamansiswa"
Fish and Chips,"Waroeng Steak And Shake, Tamansiswa"
Caesar Salad,"Waroeng Steak And Shake, Tamansiswa"
French Fries,"Waroeng Steak And Shake, Tamansiswa"
Chicken Wings,"Waroeng Steak And Shake, Tamansiswa"
Grilled Cheese Sandwich,"Waroeng Steak And Shake, Tamansiswa"
Tacos,"Waroeng Steak And Shake, Tamansiswa"
Lasagna,"Waroeng Steak And Shake, Tamansiswa"
Ribs,"Waroeng Steak And Shake, Tamansiswa"
Nachos,"Waroeng Steak And Shake, Tamansiswa"
Mac and Cheese,"Waroeng Steak And Shake, Tamansiswa"
Quesadilla,"Waroeng Steak And Shake, Tamansiswa"
Hot Dog,"Waroeng Steak And Shake, Tamansiswa"
Meatloaf,"Waroeng Steak And Shake, Tamansiswa"
Buffalo Wings,"Waroeng Steak And Shake, Tamansiswa"
Chicken Parmesan,"Waroeng Steak And Shake, Tamansiswa"
Clam Chowder,"Waroeng Steak And Shake, Tamansiswa"
Burger,"Burger King, Diponegoro"
Steak,"Burger King, Diponegoro"
Pizza,"Burger King, Diponegoro"
Pasta,"Burger King, Diponegoro"
Fish and Chips,"Burger King, Diponegoro"
Caesar Salad,"Burger King, Diponegoro"
French Fries,"Burger King, Diponegoro"
Chicken Wings,"Burger King, Diponegoro"
Grilled Cheese Sandwich,"Burger King, Diponegoro"
Tacos,"Burger King, Diponegoro"
Lasagna,"Burger King, Diponegoro"
Ribs,"Burger King, Diponegoro"
Nachos,"Burger King, Diponegoro"
Mac and Cheese,"Burger King, Diponegoro"
Quesadilla,"Burger King, Diponegoro"
Hot Dog,"Burger King, Diponegoro"
Meatloaf,"Burger King, Diponegoro"
Buffalo Wings,"Burger King, Diponegoro"
Chicken Parmesan,"Burger King, Diponegoro"
Clam Chowder,"Burger King, Diponegoro"
Fast food,"Burger King, Diponegoro"
Burger,"ViaVia Jogja, Prawirotaman"
Steak,"ViaVia Jogja, Prawirotaman"
Pizza,"ViaVia Jogja, Prawirotaman"
Pasta,"ViaVia Jogja, Prawirotaman"
Fish and Chips,"ViaVia Jogja, Prawirotaman"
Caesar Salad,"ViaVia Jogja, Prawirotaman"
French Fries,"ViaVia Jogja, Prawirotaman"
Chicken Wings,"ViaVia Jogja, Prawirotaman"
Grilled Cheese Sandwich,"ViaVia Jogja, Prawirotaman"
Tacos,"ViaVia Jogja, Prawirotaman"
Lasagna,"ViaVia Jogja, Prawirotaman"
Ribs,"ViaVia Jogja, Prawirotaman"
Nachos,"ViaVia Jogja, Prawirotaman"
Mac and Cheese,"ViaVia Jogja, Prawirotaman"
Quesadilla,"ViaVia Jogja, Prawirotaman"
Hot Dog,"ViaVia Jogja, Prawirotaman"
Meatloaf,"ViaVia Jogja, Prawirotaman"
Buffalo Wings,"ViaVia Jogja, Prawirotaman"
Chicken Parmesan,"ViaVia Jogja, Prawirotaman"
Clam Chowder,"ViaVia Jogja, Prawirotaman"
Indian,"ViaVia Jogja, Prawirotaman"
Pizza & pasta,"ViaVia Jogja, Prawirotaman"
Burger,"AMco, Parangtritis"
Steak,"AMco, Parangtritis"
Pizza,"AMco, Parangtritis"
Pasta,"AMco, Parangtritis"
Fish and Chips,"AMco, Parangtritis"
Caesar Salad,"AMco, Parangtritis"
French Fries,"AMco, Parangtritis"
Chicken Wings,"AMco, Parangtritis"
Grilled Cheese Sandwich,"AMco, Parangtritis"
Tacos,"AMco, Parangtritis"
Lasagna,"AMco, Parangtritis"
Ribs,"AMco, Parangtritis"
Nachos,"AMco, Parangtritis"
Mac and Cheese,"AMco, Parangtritis"
Quesadilla,"AMco, Parangtritis"
Hot Dog,"AMco, Parangtritis"
Meatloaf,"AMco, Parangtritis"
Buffalo Wings,"AMco, Parangtritis"
Chicken Parmesan,"AMco, Parangtritis"
Clam Chowder,"AMco, Parangtritis"
Sushi,"AMco, Parangtritis"
Sashimi,"AMco, Parangtritis"
Tempura,"AMco, Parangtritis"
Ramen,"AMco, Parangtritis"
Udon,"AMco, Parangtritis"
Soba,"AMco, Parangtritis"
Okonomiyaki,"AMco, Parangtritis"
Takoyaki,"AMco, Parangtritis"
Tonkatsu,"AMco, Parangtritis"
Yakitori,"AMco, Parangtritis"
Gyoza,"AMco, Parangtritis"
Onigiri,"AMco, Parangtritis"
Miso Soup,"AMco, Parangtritis"
Nabe,"AMco, Parangtritis"
Shabu-Shabu,"AMco, Parangtritis"
Sukiyaki,"AMco, Parangtritis"
Teriyaki,"AMco, Parangtritis"
Unagi,"AMco, Parangtritis"
Tamagoyaki,"AMco, Parangtritis"
Mochi,"AMco, Parangtritis"
Pizza & pasta,"AMco, Parangtritis"
Burger,"The Rock Burger, Melati Wetan"
Steak,"The Rock Burger, Melati Wetan"
Pizza,"The Rock Burger, Melati Wetan"
Pasta,"The Rock Burger, Melati Wetan"
Fish and Chips,"The Rock Burger, Melati Wetan"
Caesar Salad,"The Rock Burger, Melati Wetan"
French Fries,"The Rock Burger, Melati Wetan"
Chicken Wings,"The Rock Burger, Melati Wetan"
Grilled Cheese Sandwich,"The Rock Burger, Melati Wetan"
Tacos,"The Rock Burger, Melati Wetan"
Lasagna,"The Rock Burger, Melati Wetan"
Ribs,"The Rock Burger, Melati Wetan"
Nachos,"The Rock Burger, Melati Wetan"
Mac and Cheese,"The Rock Burger, Melati Wetan"
Quesadilla,"The Rock Burger, Melati Wetan"
Hot Dog,"The Rock Burger, Melati Wetan"
Meatloaf,"The Rock Burger, Melati Wetan"
Buffalo Wings,"The Rock Burger, Melati Wetan"
Chicken Parmesan,"The Rock Burger, Melati Wetan"
Clam Chowder,"The Rock Burger, Melati Wetan"
Rice,"The Rock Burger, Melati Wetan"
Fast food,"The Rock Burger, Melati Wetan"
Aneka nasi,"Lotek Gado-Gado Bu Ning, Tamansiswa"
Ayam & bebek,"Lotek Gado-Gado Bu Ning, Tamansiswa"
Bakso,"Lotek Gado-Gado Bu Ning, Tamansiswa"
Soto,"Lotek Gado-Gado Bu Ning, Tamansiswa"
Aneka nasi,"Pecel Lele Dan Bakso Mie Ayam Sakolehe, Umbulharjo"
Ayam & bebek,"Pecel Lele Dan Bakso Mie Ayam Sakolehe, Umbulharjo"
Bakso,"Pecel Lele Dan Bakso Mie Ayam Sakolehe, Umbulharjo"
Soto,"Pecel Lele Dan Bakso Mie Ayam Sakolehe, Umbulharjo"
Aneka nasi,"Pork King - Ricebox Babi, Gondokusuman"
Cepat saji,"Pork King - Ricebox Babi, Gondokusuman"
Dimsum,"Pork King - Ricebox Babi, Gondokusuman"
Bebek Peking,"Pork King - Ricebox Babi, Gondokusuman"
Cow Mein,"Pork King - Ricebox Babi, Gondokusuman"
Wonton Soup,"Pork King - Ricebox Babi, Gondokusuman"
nasi hainan,"Pork King - Ricebox Babi, Gondokusuman"
Spring Rolls,"Pork King - Ricebox Babi, Gondokusuman"
Lo Mein,"Pork King - Ricebox Babi, Gondokusuman"
Congee,"Pork King - Ricebox Babi, Gondokusuman"
Bakpao,"Pork King - Ricebox Babi, Gondokusuman"
Lumpia,"Pork King - Ricebox Babi, Gondokusuman"
Capcay,"Pork King - Ricebox Babi, Gondokusuman"
Kwetiau,"Pork King - Ricebox Babi, Gondokusuman"
Fuyunghai,"Pork King - Ricebox Babi, Gondokusuman"
Sapo Tahu,"Pork King - Ricebox Babi, Gondokusuman"
 Bakmi,"Pork King - Ricebox Babi, Gondokusuman"
Ayam Kungpao,"Pork King - Ricebox Babi, Gondokusuman"
Angsio Tahu,"Pork King - Ricebox Babi, Gondokusuman"
Ayam Koloke,"Pork King - Ricebox Babi, Gondokusuman"
Siomay,"Pork King - Ricebox Babi, Gondokusuman"
I Fu Mie,"Pork King - Ricebox Babi, Gondokusuman"
nasi goreng seafood chinese,"Pork King - Ricebox Babi, Gondokusuman"
Bakmie,"PigGoo Kitchen, Baciro"
Dimsum,"PigGoo Kitchen, Baciro"
Bebek Peking,"PigGoo Kitchen, Baciro"
Cow Mein,"PigGoo Kitchen, Baciro"
Wonton Soup,"PigGoo Kitchen, Baciro"
nasi hainan,"PigGoo Kitchen, Baciro"
Spring Rolls,"PigGoo Kitchen, Baciro"
Lo Mein,"PigGoo Kitchen, Baciro"
Congee,"PigGoo Kitchen, Baciro"
Bakpao,"PigGoo Kitchen, Baciro"
Lumpia,"PigGoo Kitchen, Baciro"
Capcay,"PigGoo Kitchen, Baciro"
Kwetiau,"PigGoo Kitchen, Baciro"
Fuyunghai,"PigGoo Kitchen, Baciro"
Sapo Tahu,"PigGoo Kitchen, Baciro"
 Bakmi,"PigGoo Kitchen, Baciro"
Ayam Kungpao,"PigGoo Kitchen, Baciro"
Angsio Tahu,"PigGoo Kitchen, Baciro"
Ayam Koloke,"PigGoo Kitchen, Baciro"
Siomay,"PigGoo Kitchen, Baciro"
I Fu Mie,"PigGoo Kitchen, Baciro"
nasi goreng seafood chinese,"PigGoo Kitchen, Baciro"
Aneka nasi,"PigGoo Kitchen, Baciro"
Bakso,"Soto Sehati, Umbulharjo"
Soto,"Soto Sehati, Umbulharjo"
Bakso,"Bakso Urat & Mie Ayam Rizky, Sorogenen"
Soto,"Bakso Urat & Mie Ayam Rizky, Sorogenen"
Bakmie,"Bakso Urat & Mie Ayam Rizky, Sorogenen"
Beverages,Izakaya Japanese Resto
Sushi,Izakaya Japanese Resto
Sashimi,Izakaya Japanese Resto
Tempura,Izakaya Japanese Resto
Ramen,Izakaya Japanese Resto
Udon,Izakaya Japanese Resto
Soba,Izakaya Japanese Resto
Okonomiyaki,Izakaya Japanese Resto
Takoyaki,Izakaya Japanese Resto
Tonkatsu,Izakaya Japanese Resto
Yakitori,Izakaya Japanese Resto
Gyoza,Izakaya Japanese Resto
Onigiri,Izakaya Japanese Resto
Miso Soup,Izakaya Japanese Resto
Nabe,Izakaya Japanese Resto
Shabu-Shabu,Izakaya Japanese Resto
Sukiyaki,Izakaya Japanese Resto
Teriyaki,Izakaya Japanese Resto
Unagi,Izakaya Japanese Resto
Tamagoyaki,Izakaya Japanese Resto
Mochi,Izakaya Japanese Resto
Seafood,Izakaya Japanese Resto
Dimsum,Yani's Kitchen
Bebek Peking,Yani's Kitchen
Cow Mein,Yani's Kitchen
Wonton Soup,Yani's Kitchen
nasi hainan,Yani's Kitchen
Spring Rolls,Yani's Kitchen
Lo Mein,Yani's Kitchen
Congee,Yani's Kitchen
Bakpao,Yani's Kitchen
Lumpia,Yani's Kitchen
Capcay,Yani's Kitchen
Kwetiau,Yani's Kitchen
Fuyunghai,Yani's Kitchen
Sapo Tahu,Yani's Kitchen
 Bakmi,Yani's Kitchen
Ayam Kungpao,Yani's Kitchen
Angsio Tahu,Yani's Kitchen
Ayam Koloke,Yani's Kitchen
Siomay,Yani's Kitchen
I Fu Mie,Yani's Kitchen
nasi goreng seafood chinese,Yani's Kitchen
Ayam & bebek,Yani's Kitchen
Aneka nasi,Yani's Kitchen
Bakmie,Yani's Kitchen
Dimsum,"Seafood 99, Wonocatur"
Bebek Peking,"Seafood 99, Wonocatur"
Cow Mein,"Seafood 99, Wonocatur"
Wonton Soup,"Seafood 99, Wonocatur"
nasi hainan,"Seafood 99, Wonocatur"
Spring Rolls,"Seafood 99, Wonocatur"
Lo Mein,"Seafood 99, Wonocatur"
Congee,"Seafood 99, Wonocatur"
Bakpao,"Seafood 99, Wonocatur"
Lumpia,"Seafood 99, Wonocatur"
Capcay,"Seafood 99, Wonocatur"
Kwetiau,"Seafood 99, Wonocatur"
Fuyunghai,"Seafood 99, Wonocatur"
Sapo Tahu,"Seafood 99, Wonocatur"
 Bakmi,"Seafood 99, Wonocatur"
Ayam Kungpao,"Seafood 99, Wonocatur"
Angsio Tahu,"Seafood 99, Wonocatur"
Ayam Koloke,"Seafood 99, Wonocatur"
Siomay,"Seafood 99, Wonocatur"
I Fu Mie,"Seafood 99, Wonocatur"
nasi goreng seafood chinese,"Seafood 99, Wonocatur"
Seafood,"Seafood 99, Wonocatur"
Aneka nasi,"Seafood 99, Wonocatur"
Fast food,"Hotaru Ramen, Banguntapan"
Sushi,"Hotaru Ramen, Banguntapan"
Sashimi,"Hotaru Ramen, Banguntapan"
Tempura,"Hotaru Ramen, Banguntapan"
Ramen,"Hotaru Ramen, Banguntapan"
Udon,"Hotaru Ramen, Banguntapan"
Soba,"Hotaru Ramen, Banguntapan"
